artist;song;duration_ms;year;tempo;genre;energy;key;loudness
Flo Rida;My House;192190;2015;94.006;hip hop, pop;0.702;7;-4.792
Drake;Too Good;263373;2016;117.996;hip hop, pop, R&B;0.653;7;-7.839
50 Cent;In Da Club;193466;2003;90.051;hip hop, pop;0.713;6;-2.752
Alicia Keys;Empire State of Mind (Part II) Broken Down;216480;2009;92.923;pop, R&B;0.368;6;-7.784
DMX;Party Up;268866;1999;201.936;hip hop, pop;0.931;11;-3.302
Sean Paul;Get Busy;211666;2002;100.202;hip hop, pop;0.824;10;-4.143
Rihanna;Pon de Replay;246960;2005;99.019;hip hop, pop, R&B;0.64;7;-8.415
The All-American Rejects;Dirty Little Secret;193653;2005;143.853;rock, pop;0.955;10;-4.253
Coldplay;Violet Hill;222653;2008;76.093;rock, pop;0.58;1;-7.875
Jonas Brothers;Only Human;183000;2019;94.01;pop;0.496;0;-5.883
Ashanti;Rain On Me;297960;2003;83.701;hip hop, pop, R&B;0.699;8;-3.103
Kendrick Lamar;HUMBLE.;177000;2017;150.018;hip hop;0.625;1;-6.779
Chingy;Pullin' Me Back;234133;2006;80.0;hip hop, pop, R&B;0.511;7;-6.66
Ed Sheeran;Sing;235382;2014;119.988;pop;0.67;8;-4.451
Beyoncé;Crazy In Love (feat. Jay-Z);236133;2003;99.165;pop, R&B;0.77;2;-6.596
Eminem;"Lose Yourself - From ""8 Mile"" Soundtrack";322226;2004;171.355;hip hop;0.735;2;-4.616
Kylie Minogue;Spinning Around;207866;2000;120.043;pop, Dance/Electronic;0.662;6;-7.645
Gwen Stefani;Hollaback Girl;199853;2004;110.007;pop, R&B;0.916;10;-2.221
Shakira;She Wolf;188866;2009;121.983;pop, latin;0.69;7;-7.448
Kanye West;Can't Tell Me Nothing;271600;2007;80.029;hip hop;0.62;5;-6.133
Jibbs;Chain Hang Low;207586;2006;157.147;hip hop, pop;0.589;4;-6.869
Jennifer Lopez;I'm Real (feat. Ja Rule) - Murder Remix;262133;2001;83.46;hip hop, pop, R&B;0.587;11;-7.93
Drake;Find Your Love;208946;2010;96.033;hip hop, pop, R&B;0.613;6;-6.005
Linkin Park;Bleed It Out;166373;2007;140.127;rock, metal;0.967;1;-3.647
Clean Bandit;Symphony (feat. Zara Larsson);214866;2017;122.95;pop, Dance/Electronic;0.609;0;-4.699
Shaggy;It Wasn't Me;227600;2000;94.759;hip hop, pop;0.606;0;-4.596
Pendulum;Propane Nightmares;313346;2008;173.992;Dance/Electronic;0.966;7;-4.13
Alex Gaudino;Destination Calabria - Radio Edit;223111;2007;128.016;Dance/Electronic;0.954;2;-4.804
Fort Minor;Remember the Name (feat. Styles of Beyond);230493;2005;84.858;hip hop, pop, rock;0.835;8;-4.162
Sigala;Sweet Lovin' - Radio Edit;202149;2015;124.977;pop, Dance/Electronic;0.91;10;-1.231
Fat Joe;Get It Poppin' (feat. Nelly) - Radio Version;211320;2005;100.813;hip hop, pop;0.55;1;-7.558
Chord Overstreet;Hold On;198853;2017;119.949;pop, Folk/Acoustic;0.443;2;-9.681
fun.;We Are Young (feat. Janelle Monáe);250626;2012;184.086;rock, pop;0.638;10;-5.576
Amanda Perez;Angel;218760;2003;143.772;pop, R&B;0.54;0;-6.849
Big Sean;Bounce Back;222360;2017;81.502;hip hop, pop;0.575;1;-5.628
Ricky Martin;Nobody Wants to Be Lonely (with Christina Aguilera);252706;2008;100.851;pop, latin;0.854;10;-5.02
Kylie Minogue;Spinning Around;207866;2000;120.043;pop, Dance/Electronic;0.662;6;-7.645
Charlie Puth;The Way I Am;186080;2018;114.966;pop;0.769;10;-5.658
Ella Mai;Trip;213993;2018;79.882;hip hop, pop, R&B;0.61;11;-5.628
Janet Jackson;Doesn't Really Matter;265026;2001;99.316;pop, R&B;0.796;5;-3.081
Bow Wow;Like You (feat. Ciara);205840;2005;82.017;hip hop, pop, R&B;0.6;6;-8.365
Marshmello;FRIENDS;202620;2018;95.079;pop, Dance/Electronic;0.88;9;-2.384
Ciara;Like a Boy;237053;2006;132.035;pop, R&B;0.724;0;-5.751
3 Doors Down;When I'm Gone;260333;2002;148.095;pop, rock, metal;0.768;7;-5.611
Reik;Me Niego (feat. Ozuna & Wisin);221653;2018;94.023;pop, latin;0.779;0;-4.449
X Ambassadors;Renegades;195200;2015;90.052;hip hop, rock, pop;0.862;2;-6.003
Mariah Carey;Obsessed;242200;2009;86.443;pop, R&B;0.468;10;-5.557
Taylor Swift;Bad Blood;211933;2014;170.216;pop;0.794;7;-6.104
A$AP Ferg;Plain Jane;173600;2017;170.142;hip hop, pop;0.844;11;-5.482
Nicki Minaj;Super Bass;200013;2010;126.991;hip hop, pop;0.861;11;-4.339
Travis Scott;goosebumps;243836;2016;130.049;hip hop, Dance/Electronic;0.728;7;-3.37
Bruno Mars;Grenade;222091;2010;110.444;pop;0.558;2;-7.273
Mariah Carey;Against All Odds (Take A Look at Me Now) (feat. Westlife);199480;2011;117.338;pop, R&B;0.514;1;-5.599
Maroon 5;Misery;216200;2010;102.978;pop;0.81;4;-4.874
The Weeknd;Can't Feel My Face;213520;2015;107.949;pop, R&B;0.769;9;-5.526
Route 94;My Love (feat. Jess Glynne);259934;2014;119.976;pop, Dance/Electronic;0.622;8;-7.573
K-Ci & JoJo;Crazy;262773;2019;116.097;pop, R&B;0.644;0;-4.507
Khalid;Better;229412;2018;97.565;pop, R&B;0.585;0;-10.332
Black Eyed Peas;Pump It;213066;2005;153.649;hip hop, pop;0.931;1;-3.15
Black Eyed Peas;Shut Up;296186;2003;112.968;hip hop, pop;0.714;2;-3.966
Alexandra Burke;Bad Boys (feat. Flo Rida);206480;2009;140.029;pop;0.866;1;-3.684
Hilltop Hoods;1955;239280;2016;84.044;hip hop, pop;0.5;11;-7.558
Britney Spears;If U Seek Amy;216520;2008;129.954;pop;0.587;4;-7.296
Ariana Grande;Love Me Harder;236133;2014;98.992;pop;0.714;1;-4.389
Matchbox Twenty;Unwell;228706;2002;80.718;pop, rock;0.788;6;-5.263
Jeezy;Soul Survivor;280013;2005;84.03;hip hop, pop;0.493;10;-7.728
Jason Derulo;Talk Dirty (feat. 2 Chainz);177685;2013;100.315;hip hop, pop;0.652;6;-7.321
Chris Brown;Kiss Kiss (feat. T-Pain);250666;2007;140.043;hip hop, pop, R&B;0.658;10;-3.386
Jimmy Eat World;The Middle;165853;2001;162.152;rock, pop;0.849;2;-5.428
Flo Rida;Wild Ones (feat. Sia);232946;2012;127.075;hip hop, pop;0.86;5;-5.324
Becky G;Sin Pijama;188560;2018;94.014;pop, latin;0.745;11;-3.695
Muse;Uprising;304840;2009;128.019;rock;0.905;2;-4.046
Lady Gaga;The Edge Of Glory;320546;2011;127.952;pop;0.768;9;-6.477
T.I.;Whatever You Like;249533;2008;150.053;hip hop, pop;0.687;9;-6.162
Avril Lavigne;Here's to Never Growing Up;214080;2013;164.986;pop;0.871;0;-3.084
Taylor Swift;22;232120;2012;103.987;pop;0.729;7;-6.561
Dr. Dre;Forgot About Dre;222293;1999;133.974;hip hop;0.74;8;-1.299
Melanie C;Never Be The Same Again;294200;1999;160.067;pop, Dance/Electronic;0.685;3;-5.153
Fifth Harmony;Work from Home (feat. Ty Dolla $ign);214480;2016;105.017;pop;0.585;8;-5.861
Lemaitre;Closer;270589;2017;91.977;pop;0.785;2;-3.991
Moloko;The Time Is Now;318280;2000;127.962;pop, Dance/Electronic;0.743;9;-10.644
Sugababes;Too Lost In You;237693;2003;98.014;pop, R&B;0.705;1;-4.904
Nico & Vinz;Am I Wrong;245866;2014;119.968;hip hop, pop;0.675;8;-6.003
Alex Clare;Too Close;256613;2011;126.027;rock;0.694;11;-4.278
One Direction;Story of My Life;245493;2013;121.07;pop;0.663;3;-5.802
Lana Del Rey;Born To Die;286253;2012;75.223;pop;0.636;4;-6.591
Travis Scott;BUTTERFLY EFFECT;190677;2017;140.987;hip hop, Dance/Electronic;0.598;11;-6.865
Papa Roach;Scars;208199;2004;89.782;rock, metal;0.929;11;-3.295
Ludacris;Stand Up;213760;2003;99.057;hip hop, pop;0.84;6;-4.855
Flipp Dinero;Leave Me Alone;195637;2019;150.024;hip hop, pop;0.743;7;-2.806
Chris Brown;Yeah 3x;241666;2011;130.0;hip hop, pop, R&B;0.882;11;-3.201
2Pac;Until The End Of Time;266506;2001;96.976;hip hop;0.706;8;-6.665
Nicky Jam;X;172854;2019;179.968;latin;0.749;9;-5.298
Eminem;Ass Like That;265480;2004;83.093;hip hop;0.796;2;-6.152
Demi Lovato;Give Your Heart a Break;205346;2011;123.008;pop;0.695;6;-3.218
David Archuleta;Crush;213520;2008;162.084;pop;0.664;0;-4.718
Sak Noel;Loca People - Radio Edit;215624;2011;127.998;Dance/Electronic;0.808;11;-3.148
